ID,Name,SearchURL,Player,Date,Year,Month,Day,Club,MarketValue,€ Unit,Avg Year MV
192985,K. De Bruyne,https://www.google.com/search?q=K.+Bruyne+zerozero+valor-de-mercado,11.Kevin De Bruyne,2014-01-16,2014,01,16,Wolfsburg,16.0,M,18.333333333333332
192985,K. De Bruyne,https://www.google.com/search?q=K.+Bruyne+zerozero+valor-de-mercado,11.Kevin De Bruyne,2013-09-03,2013,09,03,Chelsea,17.0,M,14.166666666666666
192985,K. De Bruyne,https://www.google.com/search?q=K.+Bruyne+zerozero+valor-de-mercado,11.Kevin De Bruyne,2013-06-29,2013,06,29,Chelsea,16.0,M,14.166666666666666
192985,K. De Bruyne,https://www.google.com/search?q=K.+Bruyne+zerozero+valor-de-mercado,11.Kevin De Bruyne,2013-02-10,2013,02,10,Werder Bremen,9.5,M,14.166666666666666
192985,K. De Bruyne,https://www.google.com/search?q=K.+Bruyne+zerozero+valor-de-mercado,11.Kevin De Bruyne,2011-12-25,2011,12,25,Genk,9.5,M,7.333333333333333
192985,K. De Bruyne,https://www.google.com/search?q=K.+Bruyne+zerozero+valor-de-mercado,11.Kevin De Bruyne,2011-06-23,2011,06,23,Genk,7.5,M,7.333333333333333
192985,K. De Bruyne,https://www.google.com/search?q=K.+Bruyne+zerozero+valor-de-mercado,11.Kevin De Bruyne,2011-01-02,2011,01,02,Genk,5.0,M,7.333333333333333
192985,K. De Bruyne,https://www.google.com/search?q=K.+Bruyne+zerozero+valor-de-mercado,11.Kevin De Bruyne,2010-09-28,2010,09,28,Genk,3.5,M,291.41999999999996
192985,K. De Bruyne,https://www.google.com/search?q=K.+Bruyne+zerozero+valor-de-mercado,11.Kevin De Bruyne,2010-07-09,2010,07,09,Genk,2.5,M,291.41999999999996
192985,K. De Bruyne,https://www.google.com/search?q=K.+Bruyne+zerozero+valor-de-mercado,11.Kevin De Bruyne,2010-03-29,2010,03,29,Genk,1.1,M,291.41999999999996
192985,K. De Bruyne,https://www.google.com/search?q=K.+Bruyne+zerozero+valor-de-mercado,11.Kevin De Bruyne,2010-03-25,2010,03,25,Genk,800.0,mil,291.41999999999996
192985,K. De Bruyne,https://www.google.com/search?q=K.+Bruyne+zerozero+valor-de-mercado,11.Kevin De Bruyne,2010-01-06,2010,01,06,Genk,650.0,mil,291.41999999999996
192985,K. De Bruyne,https://www.google.com/search?q=K.+Bruyne+zerozero+valor-de-mercado,11.Kevin De Bruyne,2009-10-04,2009,10,04,Genk,400.0,mil,400.0
192985,K. De Bruyne,https://www.google.com/search?q=K.+Bruyne+zerozero+valor-de-mercado,11.Kevin De Bruyne,2008-10-24,2008,10,24,Genk,100.0,mil,100.0
